id,station,line_number,line_name,dt,passenger_cnt
0,Яхромская,18.0,ЛЮБЛИНСКАЯ,03.04.2024,9813.0
1,Ясенево,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,5297.0
2,Южная,17.0,Серпуховско-Тимирязевская,03.04.2024,18227.0
3,Юго-Западная,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,12444.0
4,Юго-Восточная,1779.0,НЕКРАСОВСКАЯ,03.04.2024,4602.0
5,Электрозаводская,12.0,Арбатско-Покровская,03.04.2024,3138.0
6,Электрозаводская,1749.0,Большая кольцевая линия,03.04.2024,11960.0
7,Электрозаводская,1779.0,НЕКРАСОВСКАЯ,03.04.2024,8422.0
8,Щукинская,16.0,Таганско-краснопресненская,03.04.2024,4841.0
9,Щёлковская,12.0,Арбатско-Покровская,03.04.2024,18259.0
10,Шоссе Энтузиастов,14.0,КАЛИНИНСКАЯ,03.04.2024,10619.0
11,Шоссе Энтузиастов,1698.0,Московское центральное кольцо,03.04.2024,16023.0
12,Шипиловская,18.0,ЛЮБЛИНСКАЯ,03.04.2024,1226.0
13,Шелепиха,1749.0,Большая кольцевая линия,03.04.2024,12782.0
14,Шелепиха,1698.0,Московское центральное кольцо,03.04.2024,3516.0
15,Шелепиха,1691.0,Солнцевская,03.04.2024,12489.0
16,Шаболовская,15.0,КАЛУЖСКО-РИЖСКАЯ,03.04.2024,5552.0
17,Чкаловская,18.0,ЛЮБЛИНСКАЯ,03.04.2024,4191.0
18,Чистые пруды,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,12873.0
19,Чеховская,17.0,Серпуховско-Тимирязевская,03.04.2024,8410.0
20,Чертановская,17.0,Серпуховско-Тимирязевская,03.04.2024,10758.0
21,Черкизовская,8.0,СОКОЛЬНИЧЕСКАЯ,03.04.2024,6248.0
22,ЦСКА,1749.0,Большая кольцевая линия,03.04.2024,3323.0
23,ЦСКА,1691.0,Солнцевская,03.04.2024,11552.0
24,Цветной Бульвар,17.0,Серпуховско-Тимирязевская,03.04.2024,5909.0
25,Царицыно,9.0,ЗАМОСКВОРЕЦКАЯ,03.04.2024,2211.0
26,Хорошёвская,1749.0,Большая кольцевая линия,03.04.2024,14822.0
27,Хорошёвская,1691.0,Солнцевская,03.04.2024,16041.0
28,Хорошёво,1698.0,Московское центральное кольцо,03.04.2024,14832.0
